tempo,rpm,freq,out
89.22697257995605,282.95,45.27,73.0
89.75597524642944,294.32,47.09,75.0
90.29342341423035,305.68,48.91,77.0
90.83009386062622,315.91,50.55,79.0
91.35870385169983,326.14,52.18,81.0
91.88532638549805,334.09,53.45,83.0
92.43134093284607,343.18,54.91,85.0
92.96014428138733,352.27,56.36,87.0
93.48956274986267,360.23,57.64,89.0
94.03492522239685,368.18,58.91,91.0
94.56275963783264,375.0,60.0,93.0
95.09036302566528,381.82,61.09,95.0
95.63449382781982,388.64,62.18,97.0
96.16237711906433,395.45,63.27,99.0
96.70511937141418,401.14,64.18,101.0
97.23557543754578,406.82,65.09,103.0
97.7633330821991,412.5,66.0,105.0
98.30671072006226,418.18,66.91,107.0
98.83965754508972,422.73,67.64,109.0
99.36332964897156,428.41,68.55,111.0
99.90554976463318,434.09,69.45,113.0
100.43642139434814,436.36,69.82,115.0
100.97689509391785,442.05,70.73,117.0
101.50565719604492,445.45,71.27,119.0
102.04925322532654,450.0,72.0,121.0
102.57924842834473,454.55,72.73,123.0
103.1081919670105,456.82,73.09,125.0
103.65323185920715,461.36,73.82,127.0
104.182208776474,464.77,74.36,129.0
104.71084380149841,467.05,74.73,131.0
105.25384259223938,471.59,75.45,133.0
105.78302073478699,473.86,75.82,135.0
106.3290467262268,477.27,76.36,137.0
106.85616493225098,479.55,76.73,139.0
107.39956426620483,481.82,77.09,141.0
107.9272518157959,484.09,77.45,143.0
108.45722007751465,487.5,78.0,145.0
109.00268483161926,489.77,78.36,147.0
109.53807973861694,492.05,78.73,149.0
110.06167650222778,494.32,79.09,151.0
110.60831332206726,497.73,79.64,153.0
111.13315486907959,498.86,79.82,155.0
111.67633485794067,501.14,80.18,157.0
112.20551180839539,503.41,80.55,159.0
112.73303437232971,505.68,80.91,161.0
113.27633237838745,505.68,80.91,163.0
113.80519008636475,509.09,81.45,165.0
114.3498797416687,511.36,81.82,167.0
114.88443088531494,512.5,82.0,169.0
115.42018628120422,513.64,82.18,171.0
115.94715523719788,515.91,82.55,173.0
116.47715282440186,518.18,82.91,175.0
117.020174741745,519.32,83.09,177.0
117.55625247955322,521.59,83.45,179.0
118.0871148109436,522.73,83.64,181.0
118.61675786972046,526.14,84.18,183.0
119.16146159172058,526.14,84.18,185.0
119.69049334526062,529.55,84.73,187.0
120.21842050552368,529.55,84.73,189.0
120.76411199569702,529.55,84.73,191.0
121.29565334320068,535.23,85.64,193.0
121.82179641723633,535.23,85.64,195.0
122.3695981502533,536.36,85.82,197.0
122.89853525161743,536.36,85.82,199.0
123.42657709121704,540.91,86.55,201.0
123.97030425071716,545.45,87.27,203.0
124.50415396690369,545.45,87.27,205.0
125.0433464050293,544.32,87.09,207.0
125.57285618782043,545.45,87.27,209.0
126.10215425491333,545.45,87.27,211.0
126.64953565597534,545.45,87.27,213.0
127.17289423942566,544.32,87.09,215.0
127.71847438812256,545.45,87.27,217.0
128.2521140575409,545.45,87.27,219.0
128.77772569656372,545.45,87.27,221.0
129.32267260551453,544.32,87.09,223.0
129.8542618751526,545.45,87.27,225.0
130.38212513923645,545.45,87.27,227.0
130.92789268493652,545.45,87.27,229.0
131.45392775535583,544.32,87.09,231.0
131.99707126617432,545.45,87.27,233.0
132.52743005752563,545.45,87.27,235.0
133.0562493801117,545.45,87.27,237.0
133.60024452209473,544.32,87.09,239.0
134.13394689559937,545.45,87.27,241.0
134.6598892211914,545.45,87.27,243.0
135.2041573524475,544.32,87.09,245.0
135.73062896728516,545.45,87.27,247.0
136.25938320159912,551.14,88.18,249.0
136.80337071418762,556.82,89.09,251.0
137.33219647407532,560.23,89.64,253.0
137.87602829933167,567.05,90.73,255.0
