out,sig_angle_deg
-60.41,236.1
-71.06,236.1
-87.9,236.19
-77.48,236.19
-77.61,236.19
-61.02,236.1
-71.68,236.1
-71.79,236.1
-88.62,236.19
-78.21,236.19
-78.34,236.19
-61.75,236.1
-72.4,236.1
-89.24,236.19
-78.82,236.19
-78.95,236.19
-79.08,236.19
-62.49,236.1
-73.15,236.1
-89.98,236.19
-79.57,236.19
-62.98,236.1
-73.63,236.1
-57.02,236.01
-67.66,236.01
-84.47,236.1
-74.03,236.1
-74.14,236.1
-74.25,236.1
-74.36,236.1
-91.19,236.19
-80.78,236.19
-80.91,236.19
-64.32,236.1
-58.25,236.01
-85.61,236.1
-75.17,236.1
-75.28,236.1
-75.39,236.1
-75.5,236.1
-58.89,236.01
-69.52,236.01
-86.34,236.1
-75.9,236.1
-76.01,236.1
-59.39,236.01
-70.03,236.01
-53.39,235.92
-80.73,236.01
-86.99,236.1
-76.56,236.1
-76.67,236.1
-60.05,236.01
-70.69,236.01
-87.5,236.1
-77.06,236.1
-60.45,236.01
-71.08,236.01
-71.17,236.01
-54.54,235.92
-81.87,236.01
-71.41,236.01
-71.5,236.01
-54.87,235.92
-65.48,235.92
-65.55,235.92
-82.34,236.01
-88.6,236.1
-61.44,236.01
-72.07,236.01
-72.16,236.01
-72.25,236.01
-72.34,236.01
-72.42,236.01
-72.51,236.01
-55.88,235.92
-66.49,235.92
-66.56,235.92
-66.62,235.92
-66.69,235.92
-66.75,235.92
-66.82,235.92
-66.89,235.92
-83.68,236.01
-73.22,236.01
-73.3,236.01
-73.39,236.01
-56.76,235.92
-67.37,235.92
-67.44,235.92
-67.5,235.92
-84.29,236.01
-57.11,235.92
-67.72,235.92
-67.79,235.92
-67.85,235.92
-67.92,235.92
-84.71,236.01
-57.52,235.92
-68.14,235.92
-51.48,235.84
-78.8,235.92
-68.31,235.92
-68.38,235.92
-68.45,235.92
-68.51,235.92
-51.86,235.84
-79.17,235.92
-68.69,235.92
-68.75,235.92
-68.82,235.92
-52.16,235.84
-62.75,235.84
-62.8,235.84
-62.84,235.84
-79.61,235.92
-69.13,235.92
-69.19,235.92
-52.54,235.84
-63.13,235.84
-63.17,235.84
-63.22,235.84
-79.98,235.92
-69.5,235.92
-69.57,235.92
-52.91,235.84
-63.5,235.84
-63.55,235.84
-63.59,235.84
-80.36,235.92
-69.87,235.92
-69.94,235.92
-53.28,235.84
-63.87,235.84
-63.92,235.84
-80.69,235.92
-70.2,235.92
-53.55,235.84
-50.0,235.75
-57.99,235.75
-58.01,235.75
-74.75,235.84
-64.25,235.84
-64.29,235.84
-64.34,235.84
-64.38,235.84
-64.42,235.84
-64.47,235.84
-64.51,235.84
-64.56,235.84
-50.0,235.75
-58.45,235.75
-58.47,235.75
-58.49,235.75
-75.24,235.84
-64.73,235.84
-64.78,235.84
-64.82,235.84
-64.86,235.84
-50.0,235.75
-58.75,235.75
-58.78,235.75
-58.8,235.75
-75.54,235.84
-50.0,235.75
-75.61,235.84
-50.0,235.75
-58.95,235.75
-58.97,235.75
-59.0,235.75
-59.02,235.75
-75.76,235.84
-50.0,235.75
-59.11,235.75
-59.13,235.75
-75.87,235.84
-65.37,235.84
-65.41,235.84
-65.46,235.84
-65.5,235.84
-50.0,235.75
-59.39,235.75
-59.41,235.75
-59.43,235.75
-59.46,235.75
-59.48,235.75
-50.0,235.66
-53.33,235.66
-53.33,235.66
-53.33,235.66
-70.05,235.75
-59.52,235.75
-76.27,235.84
-65.76,235.84
-50.0,235.75
-59.65,235.75
-59.68,235.75
-59.7,235.75
-59.72,235.75
-59.74,235.75
-59.76,235.75
-59.79,235.75
-50.0,235.66
-53.63,235.66
-53.63,235.66
-53.63,235.66
-70.36,235.75
-59.83,235.75
-59.85,235.75
-50.0,235.66
-53.7,235.66
-53.7,235.66
-70.42,235.75
-59.9,235.75
-59.92,235.75
-50.0,235.66
-53.76,235.66
